id,m_tokens,n_types,M_z,N_z,gamma,RMSE_log,RMSE_fontclos
PG158_counts.txt,155780,6907,32019,3456,1.5491147748334588,0.004653679152250062,0.009102213807226556
PG105_counts.txt,82944,5652,30641,3570,1.6252815436223607,0.00469054160254346,0.007437903305823768
PG161_counts.txt,118270,6211,24663,3127,1.5496571090943818,0.0044490633210699905,0.009856799995721147
PG10_counts.txt,789996,12561,54664,4357,1.4299760670880752,0.004742947992400009,0.010170187097859423
PG574_counts.txt,6782,1484,9879,1804,1.8352036099945315,0.00837398029830666,0.009809848901773227
PG473_counts.txt,51771,4707,27965,3504,1.681972779579156,0.004954357966791583,0.007430785327064446
PG22816_counts.txt,16207,1497,3976,804,1.565504356312536,0.0080739944063668,0.013230163511272704
PG5265_counts.txt,78597,7670,66633,7073,1.7460906857537728,0.004010604872576351,0.006362170575387185
PG223_counts.txt,71749,7507,61279,6941,1.749388424567773,0.004423782607795813,0.006422497802267641
PG1695_counts.txt,57809,6172,51257,5811,1.7558664576549794,0.004598286972670874,0.0063448333670043655
PG3655_counts.txt,164241,8134,35360,4145,1.5539477492525524,0.00340241697931053,0.009861104473474979
PG2701_counts.txt,210258,16402,113828,12284,1.6738185439322553,0.0030605416396892204,0.009471069878950909
PG26_counts.txt,79881,8940,55903,7514,1.7180164317344904,0.00359332101514763,0.007083831769761184
PG1120_counts.txt,20715,2768,21622,2814,1.7914641190999239,0.007581198111338864,0.0068693887917544065
PG1122_counts.txt,31403,4441,62942,6386,1.9055158469341387,0.005755268428421752,0.005003537730180104
PG1129_counts.txt,18037,3147,39512,4753,1.9237683373252117,0.007440336494418872,0.007030321225413417
PG1322_counts.txt,120422,11937,83885,10027,1.7146540919080517,0.003474586388369761,0.008368245069982244
